condition_name,split_name,optimizer_name,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
A1_D3,iid,adamw,0.9260196905766526,0.005324623394540207,0.035854250393663745
A1_D3,iid,fedprox,0.4517580872011252,0.06678177013841269,0.08606694634421486
A1_D3,dirichlet_0_5,sgd,0.4489451476793249,0.06253684295864936,0.07575383675292013
A1_D3,dirichlet_0_5,adamw,0.920675105485232,0.036228394052361335,0.07225818919702387
A1_D3,dirichlet_0_5,fedprox,0.4531645569620253,0.06092124916351882,0.07599032879738654
A1_D3,strict_non_iid,sgd,0.45260196905766525,0.06561241413615371,0.0798814308209358
A1_D3,strict_non_iid,adamw,0.5541490857946554,0.03888933165327152,0.0715292956356201
A1_D3,strict_non_iid,fedprox,0.4559774964838256,0.06086250654413394,0.07691867023901855
A2_D1,iid,sgd,0.4548523206751055,0.06585116337868302,0.08263707725210934
A2_D1,iid,adamw,0.9285513361462728,0.011987616643604704,0.03229297516668277
A2_D1,iid,fedprox,0.4559774964838256,0.06360245468573733,0.07714341112599599
A2_D1,dirichlet_0_5,sgd,0.4520393811533052,0.06424244006535196,0.07759289289995064
A2_D1,dirichlet_0_5,adamw,0.8286919831223629,0.022640642197674754,0.028252720392958786
A2_D1,dirichlet_0_5,fedprox,0.45147679324894513,0.06449493027148023,0.07804237467390529
A2_D1,strict_non_iid,sgd,0.4551336146272855,0.06819674586500046,0.08423964135467343
A2_D1,strict_non_iid,adamw,0.5175808720112518,0.0,0.0
A2_D1,strict_non_iid,fedprox,0.4520393811533052,0.056022595640541906,0.07188036146560439
A2_D2,iid,sgd,0.4537271448663854,0.06351245137416506,0.08331717549178597
A2_D2,iid,adamw,0.9383966244725739,0.02435551445480666,0.042619254678390825
A2_D2,iid,fedprox,0.45344585091420536,0.0622843527525212,0.07164386942113798
A2_D2,dirichlet_0_5,sgd,0.45147679324894513,0.05745131233072853,0.07347117441067941
A2_D2,dirichlet_0_5,adamw,0.8790436005625879,0.07146022471971869,0.11611427835217575
A2_D2,dirichlet_0_5,fedprox,0.4542897327707454,0.06698238820695535,0.08400314931020703
A2_D2,strict_non_iid,sgd,0.45147679324894513,0.06571615841132472,0.08559983783402669
A2_D2,strict_non_iid,adamw,0.5175808720112518,0.0,0.0
A2_D2,strict_non_iid,fedprox,0.45457102672292543,0.05945440129934554,0.07301581705798021
A2_D3,iid,sgd,0.45457102672292543,0.06663302420745554,0.08423964135467343
A2_D3,iid,adamw,0.9341772151898734,0.03057226991099976,0.05912970657390408
A2_D3,iid,fedprox,0.45625879043600565,0.06335683496140843,0.07989318197842488
A2_D3,dirichlet_0_5,sgd,0.4548523206751055,0.06223248061493558,0.07645743730757482
A2_D3,dirichlet_0_5,adamw,0.8461322081575247,0.0035726505356915017,0.026287339302921264
A2_D3,dirichlet_0_5,fedprox,0.4517580872011252,0.06399682034102327,0.07438776469482244
A2_D3,strict_non_iid,sgd,0.4540084388185654,0.06652927993228452,0.07829061787586078
A2_D3,strict_non_iid,adamw,0.5144866385372715,0.0043005780823386075,0.005310054290347602
A2_D3,strict_non_iid,fedprox,0.44978902953586497,0.06556741248036757,0.08399727373146249
A3_D1,iid,sgd,0.4548523206751055,0.06482368282558182,0.08034853933112418
