run_index,run_key,category,condition_name,attack,defense,split_name,optimizer_name,protected_attr,seed,stopped_reason,finished_round,total_duration_sec,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
114,r114__A3_D1__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_defense,A3_D1,A3,D1,dirichlet_0_5,fedprox,race_bin,42,completed,30,236.78699827194214,0.45625879043600565,0.062180608477350074,0.07623269642059749
115,r115__A3_D1__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A3_D1,A3,D1,strict_non_iid,sgd,race_bin,42,completed,30,214.89355540275574,0.4511954992967651,0.06639427496492611,0.08216996874192106
116,r116__A3_D1__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A3_D1,A3,D1,strict_non_iid,adamw,race_bin,42,completed,30,235.12808918952942,0.5175808720112518,0.0,0.0
117,r117__A3_D1__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A3_D1,A3,D1,strict_non_iid,fedprox,race_bin,42,completed,30,246.6253879070282,0.44922644163150494,0.06576116006711086,0.08079214552633429
118,r118__A3_D2__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A3_D2,A3,D2,iid,sgd,race_bin,42,completed,30,230.15273666381836,0.45625879043600565,0.06267184792600766,0.07668805377329668
119,r119__A3_D2__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A3_D2,A3,D2,iid,adamw,race_bin,42,completed,30,257.9893388748169,0.9324894514767933,0.028801059703112752,0.05467194898057783
120,r120__A3_D2__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A3_D2,A3,D2,iid,fedprox,race_bin,42,completed,30,267.3980770111084,0.45569620253164556,0.06316308737466525,0.07622682084185295
121,r121__A3_D2__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_defense,A3_D2,A3,D2,dirichlet_0_5,sgd,race_bin,42,completed,30,237.63105487823486,0.4568213783403657,0.06492055661895346,0.08493149075183903
122,r122__A3_D2__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_defense,A3_D2,A3,D2,dirichlet_0_5,adamw,race_bin,42,completed,30,232.48099994659424,0.8638537271448664,0.024267915811864216,0.07303931937295827
123,r123__A3_D2__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_defense,A3_D2,A3,D2,dirichlet_0_5,fedprox,race_bin,42,completed,30,274.2067987918854,0.45288326300984527,0.06268558888960651,0.08102276199205616
124,r124__A3_D2__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A3_D2,A3,D2,strict_non_iid,sgd,race_bin,42,completed,30,229.97187662124634,0.4579465541490858,0.0622256101331361,0.07784113610190602
125,r125__A3_D2__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A3_D2,A3,D2,strict_non_iid,adamw,race_bin,42,completed,30,234.41731119155884,0.5510548523206751,0.03517755386114206,0.038142171546365185
126,r126__A3_D2__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A3_D2,A3,D2,strict_non_iid,fedprox,race_bin,42,completed,30,278.22202229499817,0.460196905766526,0.06143687882256432,0.07578909022538716
127,r127__A3_D3__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A3_D3,A3,D3,iid,sgd,race_bin,42,completed,30,255.9521243572235,0.4542897327707454,0.06360245468573733,0.07691279466027401
128,r128__A3_D3__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A3_D3,A3,D3,iid,adamw,race_bin,42,completed,30,258.6460144519806,0.9254571026722925,0.030786628943141214,0.0643476020227397
129,r129__A3_D3__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A3_D3,A3,D3,iid,fedprox,race_bin,42,completed,30,251.70014190673828,0.45344585091420536,0.0630143414437081,0.07622682084185295
130,r130__A3_D3__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_defense,A3_D3,A3,D3,dirichlet_0_5,sgd,race_bin,42,completed,30,251.3856647014618,0.45344585091420536,0.0662905306897551,0.07828474229711624
131,r131__A3_D3__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_defense,A3_D3,A3,D3,dirichlet_0_5,adamw,race_bin,42,completed,30,252.77523493766785,0.7789029535864979,0.033002702847539866,0.08684252273848969
132,r132__A3_D3__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_defense,A3_D3,A3,D3,dirichlet_0_5,fedprox,race_bin,42,completed,30,259.5143926143646,0.4537271448663854,0.066536150414084,0.08148987050224443
133,r133__A3_D3__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A3_D3,A3,D3,strict_non_iid,sgd,race_bin,42,completed,30,271.94884514808655,0.44950773558368495,0.06590303551626864,0.07644568615008573
134,r134__A3_D3__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A3_D3,A3,D3,strict_non_iid,adamw,race_bin,42,completed,30,257.3022816181183,0.5175808720112518,0.0,0.0
135,r135__A3_D3__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A3_D3,A3,D3,strict_non_iid,fedprox,race_bin,42,completed,30,275.4269061088562,0.44978902953586497,0.06514865661469371,0.08443500434792828
136,r136__A4_D3__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A4_D3,A4,D3,iid,sgd,race_bin,42,completed,30,255.93143510818481,0.4542897327707454,0.0632599611680369,0.07531023055770991
137,r137__A4_D3__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A4_D3,A4,D3,iid,adamw,race_bin,42,completed,30,250.3016860485077,0.9319268635724332,0.009901394845214906,0.036750732760009015
138,r138__A4_D3__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A4_D3,A4,D3,iid,fedprox,race_bin,42,completed,30,248.28988456726074,0.45569620253164556,0.061599365717120214,0.07462425673928885
139,r139__A4_D3__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_defense,A4_D3,A4,D3,dirichlet_0_5,sgd,race_bin,42,completed,30,250.76007103919983,0.45935302390998595,0.060803763924748955,0.0712061388046723
140,r140__A4_D3__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_defense,A4_D3,A4,D3,dirichlet_0_5,adamw,race_bin,42,completed,30,245.066308259964,0.8168776371308016,0.01362244778777355,0.047523149780253404
141,r141__A4_D3__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_defense,A4_D3,A4,D3,dirichlet_0_5,fedprox,race_bin,42,completed,30,260.73284816741943,0.45344585091420536,0.06506930254991061,0.08080389668382337
142,r142__A4_D3__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A4_D3,A4,D3,strict_non_iid,sgd,race_bin,42,completed,30,263.7601752281189,0.46047819971870607,0.06407995317079607,0.07761639521492869
143,r143__A4_D3__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A4_D3,A4,D3,strict_non_iid,adamw,race_bin,42,completed,30,246.2371325492859,0.6137834036568214,0.2994523538957693,0.4126418952266798
144,r144__A4_D3__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A4_D3,A4,D3,strict_non_iid,fedprox,race_bin,42,completed,30,244.25596714019775,0.4568213783403657,0.057043205711843736,0.0657065970998143
145,r145__A4_D4__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A4_D4,A4,D4,iid,sgd,race_bin,42,completed,30,235.4073610305786,0.45569620253164556,0.06183811495964964,0.07623269642059749
146,r146__A4_D4__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A4_D4,A4,D4,iid,adamw,race_bin,42,completed,30,236.08260202407837,0.9310829817158931,0.025396735971506712,0.05543208683608722
147,r147__A4_D4__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A4_D4,A4,D4,iid,fedprox,race_bin,42,completed,30,269.18039321899414,0.4559774964838256,0.06169623951049197,0.07393828292086779
148,r148__A4_D4__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_defense,A4_D4,A4,D4,dirichlet_0_5,sgd,race_bin,42,completed,30,224.29208731651306,0.45457102672292543,0.05930565536838839,0.07164386942113798
149,r149__A4_D4__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_defense,A4_D4,A4,D4,dirichlet_0_5,adamw,race_bin,42,completed,30,236.8775668144226,0.9277074542897328,0.00605770380253684,0.04620848903617014
150,r150__A4_D4__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_defense,A4_D4,A4,D4,dirichlet_0_5,fedprox,race_bin,42,completed,30,280.29502964019775,0.45541490857946554,0.06413869579018094,0.07554084702343189
151,r151__A4_D4__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A4_D4,A4,D4,strict_non_iid,sgd,race_bin,42,completed,30,234.61668753623962,0.45879043600562586,0.058406309300846115,0.07166737173611604
152,r152__A4_D4__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A4_D4,A4,D4,strict_non_iid,adamw,race_bin,42,completed,30,233.34792232513428,0.7170182841068917,0.17794650917690252,0.18525993560365694
153,r153__A4_D4__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A4_D4,A4,D4,strict_non_iid,fedprox,race_bin,42,completed,30,241.45982885360718,0.4531645569620253,0.06462993523883864,0.08240646078638747
154,r154__A4_D5__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A4_D5,A4,D5,iid,sgd,race_bin,42,completed,30,239.05676555633545,0.45654008438818566,0.06257497413263602,0.07829061787586078
155,r155__A4_D5__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A4_D5,A4,D5,iid,adamw,race_bin,42,completed,30,247.17659282684326,0.9251758087201125,0.00775643042744012,0.040241838821123865
156,r156__A4_D5__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A4_D5,A4,D5,iid,fedprox,race_bin,42,completed,30,259.70283555984497,0.4571026722925457,0.05998377192198989,0.07027779736304018
